,Temperature,Humidity,doorOpened,isCloudy,isRaining
791,20.605928249648606,0.5421636034927703,False,False,False
792,20.609902694526497,0.5431268267018731,True,False,False
793,20.605982397229432,0.5435582696518799,False,False,False
794,20.59749237309495,0.5435776340328115,False,False,False
795,20.586738259328005,0.5432782556981359,False,False,False
796,20.575320535480735,0.5427329054971053,False,False,False
797,20.564351267878358,0.5419983139204939,False,False,False
798,20.582503601232933,0.5428787003208272,True,False,False
799,20.59292885170798,0.5432437257007456,False,False,False
800,20.59896536108542,0.5432094718845503,False,False,False
801,20.60291558908671,0.5428664515086611,False,False,False
802,20.606365155687943,0.5422852335884638,False,False,False
803,20.610402948978436,0.5415208314569939,False,False,False
804,20.615772975026243,0.5406161253536903,False,False,False
805,20.622979116627082,0.5396045320402373,False,False,False
806,20.660257406177703,0.5402720870975674,True,False,False
807,20.69043989036587,0.5404742691142059,False,False,False
808,20.71662681033897,0.5403160985498936,False,False,False
809,20.768838443411507,0.5416394610859585,True,False,False
810,20.811130777603495,0.5423433976129873,False,False,False
811,20.847441461415045,0.5425669064178427,False,False,False
812,20.88046156736199,0.5424183751262084,False,False,False
813,20.939920033298662,0.5437423153920755,True,False,False
814,20.989662971853182,0.5444398159521024,False,False,False
815,21.033474555798087,0.5446514720046095,False,False,False
816,21.101831514333007,0.5462469163618229,True,False,False
817,21.18698968676938,0.5489068315228868,True,False,False
818,21.28359292575536,0.5523822950873322,True,False,False
819,21.360030454728456,0.5547192914141368,False,False,False
820,21.42321055082314,0.5561714307299802,False,False,False
821,21.47785538757694,0.5569364940477296,False,False,False
822,21.555077456206668,0.5589287159767644,True,False,False
823,21.619660394963127,0.5601035653111976,False,False,False
824,21.67601897523833,0.560644049884893,False,False,False
825,21.75504962740785,0.5624528805946221,True,False,False
826,21.821383302846407,0.5634765371120078,False,False,False
827,21.87932617554803,0.5638910151349834,False,False,False
828,21.931796873665874,0.5638335554801088,False,False,False
829,21.98075617942349,0.5634111705483997,False,False,False
830,22.05540364877572,0.5644672949647516,True,False,False
831,22.11919640847778,0.564902173072813,False,False,False
832,22.17562836794584,0.564855737177144,False,False,False
833,22.227056035992415,0.5644370988082978,False,False,False
834,22.30295135567363,0.5654913296834186,True,False,False
835,22.366959296178674,0.5659199508516057,False,False,False
836,22.422703837787427,0.5658638902234329,False,False,False
837,22.47263226501527,0.5654330356801478,False,False,False
838,22.518380751433565,0.5647130642726614,False,False,False
839,22.561026748551825,0.5637707689928327,False,False,False
840,22.601263268459313,0.562658213651186,False,False,False
841,22.639519271670842,0.5614159736776821,False,False,False
842,22.67604286562902,0.560075663942513,False,False,False
843,22.71095884018297,0.5586619104525476,False,False,False
844,22.744308492766717,0.5571938882708306,False,False,False
845,22.77607723022435,0.5556865210900922,False,False,False
846,22.784513732850286,0.5543714168964293,False,True,False
847,22.776921292270192,0.5532069977833541,False,True,False
848,22.758282414776875,0.5521608232031658,False,True,False
849,22.73198101883894,0.5512075798794709,False,True,False
850,22.70030083383623,0.550327513937634,False,True,False
851,22.664769372523025,0.5495052079652287,False,True,False
852,22.64809534387285,0.5485086271179008,False,False,False
853,22.67145453394024,0.5491389750806652,True,False,False
854,22.69280165346987,0.5492635597164561,False,False,False
855,22.711870560157255,0.548996626490745,False,False,False
856,22.728462502791686,0.5484272547793059,False,False,False
857,22.742427952085865,0.547624894762468,False,False,False
858,22.781554111888845,0.5484036861990889,True,False,False
859,22.83627034181005,0.5504010270667427,True,False,False
860,22.87209404046525,0.5515742330975926,False,False,False
